Rule_ID,Column_Keyword,Data_Type_Expected,Sample_Pattern,Information_Type,Sensitivity_Label,Description,,Masking_Function
1,"name, first_name, last_name, full_name, person_name","NVARCHAR, VARCHAR",,Name,Confidential,Identifies a person's name,,"partial(1,""XXXXXXX"",1)"
2,"email, mail_id, email_address, official_email","NVARCHAR, VARCHAR",^[\w\.-]+@[\w\.-]+\.\w+$,Contact Info,Confidential,Email address,,email()
3,"phone, mobile, contact_no, mob_no, telephone, alt_phone","NVARCHAR, VARCHAR, BIGINT","^\+?\d{10,13}$",Contact Info,Confidential,Mobile or phone numbers,,"partial(0,""XXXXXXX"",4)"
4,"address, street, city, state, pincode, postal_code","NVARCHAR, VARCHAR",^\d{6}$,Contact Info,Confidential,Residential or postal address,,"partial(2,""XXXX"",2)"
5,"pan, pan_no, pan_number","NVARCHAR, VARCHAR",^[A-Z]{5}[0-9]{4}[A-Z]$,National ID,Highly Confidential,PAN number,,"partial(0,""XXXXXXX"",3)"
6,"aadhaar, aadhar, uid, aadhaar_no","NVARCHAR, VARCHAR, BIGINT",^\d{12}$,National ID,Highly Confidential,Aadhaar number,,"partial(0,""XXXXXXX"",4)"
7,"account_no, acc_no, bank_account","VARCHAR, BIGINT","^\d{10,16}$",Banking,Highly Confidential,Bank account number,,"partial(0,""XXXXXXX"",4)"
8,"ifsc, ifsc_code","NVARCHAR, VARCHAR",[A-Z]{4}0[A-Z0-9]{6},Banking,Confidential,IFSC code,,"partial(0,""XXXXXXX"",3)"
9,"card_no, credit_card, debit_card","NVARCHAR, VARCHAR",^\d{16}$,Credit Card,Highly Confidential,Credit/Debit card number,,"partial(0,""XXXX-XXXX-XXXX-"",4)"
10,"cvv, cvv_code","NVARCHAR, VARCHAR",^\d{3}$,Credit Card,Highly Confidential,Card verification value,,default()
11,"upi_id, vpa, upi","NVARCHAR, VARCHAR",@,Banking,Confidential,UPI ID or Virtual Payment Address,,email()
12,"salary, ctc, income, pay, compensation, wages,balance","DECIMAL, FLOAT, MONEY",,Financial,Confidential,Salary or income information,,"random(1000, 9999)"
13,"emp_id, employee_id, staff_id, empno,agentid,customerid","INT, NVARCHAR",,Other ID,Internal,Employee identifier,,"partial(0,""EMPXXXX"",0)"
14,"doj, hire_date, joining_date","DATE, DATETIME",,Date of Birth,Confidential,Employee joining date,,default()
15,"patient_id, diagnosis, prescription, medical, hospital_id","NVARCHAR, VARCHAR",,Health,Highly Confidential,Medical or diagnostic data,,"partial(0,""XXXXXXX"",3)"
16,"health_id, abha, abha_no","NVARCHAR, VARCHAR",^\d{14}$,Health,Highly Confidential,Health or ABHA ID,,"partial(0,""XXXXXXX"",2)"
17,"voter_id, election_id","NVARCHAR, VARCHAR",^[A-Z]{3}[0-9]{7}$,National ID,Highly Confidential,Voter ID,,"partial(0,""XXXXXXX"",3)"
18,"dl_no, driving_license, license_no","NVARCHAR, VARCHAR",^[A-Z]{2}[0-9]{13}$,National ID,Highly Confidential,Driving licence number,,"partial(0,""XXXXXXX"",4)"
